segment_id,line,midpoint,date,section_id,dfbsec_beg,dfbsec_end,individuals,se_length
s11-r10000m,"LINESTRING (572357.7596042171 4733598.90097864, 571920.203976986 4733594.329206078, 571484.0137248726 4733589.800982227, 571033.9112653524 4733585.157214581, 570597.7211137973 4733580.684972325, 570201.6310374279 4733576.647742725, 569765.440979171 4733572.228070119, 569315.3387184454 4733567.696315596, 568824.1300215062 4733581.663593594, 568387.9413075857 4733577.330914029, 567950.9342759807 4733573.017734064, 567569.5761185805 4733569.276394199, 567119.4753351717 4733564.887745695, 566682.4684402336 4733560.654835368, 566246.2799566295 4733556.457428226, 565809.9222307139 4733570.054666658, 565318.9046695681 4733565.3936048625, 564881.8990885135 4733561.274622588, 564445.7119150823 4733557.190929833, 564022.6185832485 4733553.256146501, 563641.261766819 4733549.731725437, 563204.2563577663 4733545.71890393, 562768.0693548479 4733541.741172837, 562277.0521429274 4733537.296388937, 562071.7130928595 4733544.610081776)",POINT (567214.6850837233 4733565.816075829),2019-03-03,s2,20574.044504940877,30861.066757411318,,10287.022252470517
s12-r10000m,"LINESTRING (562071.7130928595 4733544.610081776, 561853.78996694 4733552.371989727, 561417.6042903262 4733548.479542161, 560994.5124083699 4733544.730262576, 560613.1568970974 4733541.373045624, 560176.1529816833 4733537.551826631, 559753.879575189 4733533.885683183, 559316.8757419861 4733530.118837755, 558894.6024143659 4733526.505234917, 558403.4273401254 4733541.213345917, 558035.166793736 4733538.109206733, 557544.1527765521 4733534.000901084, 557121.0624057219 4733530.488911497, 556752.8019586107 4733527.453152887, 556329.7116573846 4733523.989643744, 555893.5276909887 4733520.446081994, 555416.4259485564 4733516.601649961, 554993.3357626802 4733513.220010605, 554570.24561275 4733509.864290702, 554147.9738545752 4733506.540905791, 553670.0539227229 4733502.81070257, 553356.6235807879 4733500.382310668, 552879.5220787243 4733496.713134895, 552456.4321042451 4733493.486911077, 552033.3421640552 4733490.286606349, 551785.3730453139 4733488.425143657)",POINT (556928.7247722484 4733528.903374327),2019-03-03,s2,30861.066757411318,41148.089009881754,,10287.022252470442
s13-r10000m,"LINESTRING (551785.3730453139 4733488.425143657, 551665.0820890726 4733487.522139573, 551242.8105679043 4733484.376385274, 550819.7207245396 4733481.250428413, 550396.630914398 4733478.150390415, 549933.4417209432 4733474.786258375, 549510.3519794971 4733471.740514457, 549087.2622704153 4733468.72068923, 548664.8657658424 4733483.499581526, 548241.7772090178 4733480.531542055, 547873.518336107 4733477.969239994, 547450.4298380425 4733475.049678676, 547028.1597239017 4733472.16160777, 546605.07128754 4733469.293833144, 546127.9715979655 4733466.0910522435, 545704.8832260951 4733463.278422947, 545281.7948841043 4733460.491711872, 544913.5361966138 4733458.087238869, 544436.4366412091 4733455.001309067, 544013.3483871438 4733452.292302225, 543645.08977551 4733449.955463344, 543222.8199274307 4733447.300054766, 542799.7317551633 4733444.665392912, 542322.6323604172 4733441.725483316, 541940.4618586369 4733439.394303535, 541517.3737703324 4733436.83819728, 541498.8341835507 4733436.72732411)",POINT (546642.2404901421 4733469.545773134),2019-03-03,s2,41148.089009881754,51435.11126235219,,10287.022252470368
s14-r10000m,"LINESTRING (541498.8341835507 4733436.72732411, 541095.1040612957 4733434.312877728, 540672.016026951 4733431.808556772, 540248.9280191996 4733429.33015346, 539826.6583897341 4733426.882386419, 539403.5704342871 4733424.455768133, 538980.375967556 4733440.93251118, 538558.1075693375 4733438.562295118, 538080.1914279906 4733435.910869866, 537671.0166746981 4733433.667091222, 537248.7483534523 4733431.376928577, 536880.4911163654 4733429.400768751, 536457.4044909618 4733427.154618593, 536034.3178893962 4733424.934385664, 535571.13219786 4733422.533442604, 535148.0456453316 4733420.367500366, 534724.9591157847 4733418.227475231, 534356.7020002417 4733416.385880766, 533947.5274473674 4733414.362693306, 533525.2593305693 4733412.300180414, 533047.3435037743 4733409.997007785, 532638.1690164568 4733408.051390151, 532161.0715894335 4733405.813410357, 531847.6439632748 4733404.36111351, 531369.7282315126 4733402.174023716, 531212.2691829045 4733401.464169961)",POINT (536355.7186677535 4733426.62100157),2019-03-03,s2,51435.11126235219,61722.13351482263,,10287.022252470453
s15-r10000m,"LINESTRING (531212.2691829045 4733401.464169961, 530906.5428041318 4733400.085900375, 530592.2968742817 4733398.686908829, 530170.0289234021 4733396.829528361, 529760.8545711467 4733395.054369239, 529337.7683100516 4733393.244345247, 528860.671059902 4733391.234344902, 528451.4967650106 4733389.536754564, 527973.5812105946 4733387.58465983, 527660.1537278432 4733386.3223885335, 527183.0565603265 4733384.42827074, 526719.052990275 4733382.617747108, 526405.6255465804 4733381.412405033, 525982.539430026 4733379.807908367, 525573.435145657 4733359.403408896, 525150.3479059191 4733357.849893478, 524728.0790331446 4733356.325224071, 524318.9037841969 4733354.872458997, 523854.8990698784 4733353.25435315, 523431.811895233 4733351.806106819, 523022.63669255335 4733350.430133667, 522600.367898153 4733349.035545117, 522191.1927238293 4733347.708827263, 521727.1880925588 4733346.233658812, 521413.75992980564 4733345.254843907, 520949.7553269656 4733343.831902406, 520925.8268406231 4733343.760034528)",POINT (526068.8024007393 4733380.135048974),2019-03-03,s2,61722.13351482263,72009.15576729306,,10287.022252470475
s16-r10000m,"LINESTRING (520925.8268406231 4733343.760034528, 520540.58020587155 4733342.602967677, 520117.5448913313 4733323.59076983, 519708.36874301295 4733322.411139137, 519299.19260675187 4733321.255748083, 518849.05038583773 4733337.779782335, 518535.66996786726 4733319.1646045605, 518071.6642678092 4733317.935012542, 517608.47693413624 4733316.738677709, 517308.1416916101 4733315.979562138, 516898.96562103764 4733314.966360408, 516489.78956080193 4733313.977398188, 516066.7015251252 4733312.980300969, 515616.60788168106 4733311.948009118, 515398.9262328371 4733311.459277883, 515248.3494547487 4733311.125222208, 514839.17343367916 4733310.234041999, 514375.98618877045 4733309.254476013, 514020.82141852606 4733308.524399854, 513598.5517922533 4733307.680147346, 513134.58212149853 4733287.904823909, 512725.4050263514 4733287.138864797, 512261.398209862 4733286.299596237, 511947.9685668165 4733285.750321867, 511483.96176628507 4733284.96327936, 511074.7847010146 4733284.295101684, 510706.52534807235 4733283.714466378, 510640.53065378283 4733283.614384419)",POINT (515783.6118761934 4733312.331033551),2019-03-03,s2,72009.15576729306,82296.17801976351,,10287.022252470473
s17-r10000m,"LINESTRING (510640.53065378283 4733283.614384419, 510243.3369249967 4733283.012034083, 509834.1598795019 4733282.41734992, 509424.9828400255 4733281.846905021, 509001.89378726634 4733281.282554463, 508537.88703790784 4733280.693420778, 508224.45743854763 4733280.313108698, 507760.4507002385 4733279.776200863, 507351.2937782947 4733260.451208771, 506983.03346415167 4733260.069093069, 506573.85534137936 4733259.667547301, 506110.66571123974 4733259.242247204, 505701.4875967417 4733258.892379369, 505278.39743001474 4733258.556105408, 504869.2193223489 4733258.255540045, 504405.2113518483 4733257.944027773, 504105.6929812188 4733257.759500055, 503641.68501622754 4733257.499278899, 503232.5069189779 4733257.295670151, 502809.42399488046 4733239.3436732385, 502400.2448489029 4733239.189366977, 501991.0657043942 4733239.059299844, 501581.88656110404 4733238.953471838, 501172.70741878194 4733238.871882954, 500763.5282771775 4733238.814533194, 500354.3491360382 4733238.781422554)",POINT (505497.4790278787 4733258.730232444),2019-03-03,s2,82296.17801976351,92583.20027223395,,10287.022252470433
s18-r10000m,"LINESTRING (500383.19465074566 4714750.31577576, 500765.5687564222 4714750.347387668, 501216.86866713257 4714750.4117744, 501504.05951988284 4714750.468011035, 501887.25417274993 4714750.561534169, 502338.54810640006 4714768.46521882, 502721.74178200145 4714768.604768177, 503063.08775557653 4714768.746876483, 503501.257829487 4714768.953875499, 503938.6073628008 4714769.188043684, 504225.7974894428 4714769.356787632, 504663.1470277986 4714769.636565308, 505101.31711286557 4714769.944476414, 505388.5072455785 4714770.161282749, 505784.8296315874 4714770.479970784, 506168.02332908614 4714770.809598882, 506550.37868923467 4714790.036428906, 506933.57135285606 4714790.408281875, 507370.9197296879 4714790.858514436, 507754.1124020748 4714791.275624348, 508137.3050789012 4714791.713869262, 508478.6501653856 4714792.122053329, 508861.84285120363 4714792.600260158, 509245.03554209316 4714793.099602008, 509682.3839516648 4714793.6953412, 510065.5766541549 4714794.23994008, 510447.948821269 4714794.804440004, 510499.0236506811 4714794.882656317)",POINT (505441.17457822256 4714770.203633242),2019-02-02,s3,0.0,10116.670919784581,,10116.670919784585
s19-r10000m,"LINESTRING (510499.0236506811 4714794.882656317, 510831.14153548836 4714795.391263725, 511214.30378600664 4714814.876066762, 511651.6510423549 4714815.595773885, 511938.8396769331 4714816.083352142, 512376.1869478501 4714816.84866909, 512759.37865433254 4714817.541847438, 513155.69899227633 4714818.281008637, 513483.9145991447 4714818.91026483, 513881.05549103755 4714819.69239672, 514263.4266884011 4714820.466892243, 514646.61843296984 4714821.264162312, 515083.96576625545 4714822.199935396, 515467.1575290426 4714823.042462824, 515863.4779268505 4714823.936090077, 516246.66970787547 4714824.821612053, 516629.8614982 4714825.728269259, 516971.20579908835 4714826.553711592, 517409.3737351045 4714827.637875335, 517805.69418282603 4714828.642297285, 518133.9098827624 4714829.491231241, 518571.2573147843 4714830.646532219, 518968.3983344596 4714831.719474802, 519350.7696578061 4714832.773965928, 519747.86020027206 4714851.657919752, 520130.2305684993 4714852.755314187, 520527.3706197492 4714853.91737727, 520614.7264948822 4714854.177888207)",POINT (515556.85547993606 4714823.244714674),2019-02-02,s3,10116.670919784581,20233.341839569162,,10116.670919784567
s20-r10000m,"LINESTRING (520614.7264948822 4714854.177888207, 520909.7410115896 4714855.057674576, 521347.90795596165 4714856.390242689, 521635.0960367607 4714857.278641047, 522072.4424703375 4714858.654350146, 522468.7620481755 4714859.924784622, 522851.9530402367 4714861.174631883, 523235.1440453763 4714862.445614669, 523576.4876500101 4714863.595595665, 523959.6786804751 4714864.906541388, 524355.9983259806 4714866.28463592, 524739.1221656512 4714886.515440183, 525122.3121972035 4714887.89051754, 525518.6308102742 4714889.3349410165, 525901.8208712998 4714890.75301384, 526284.190411636 4714892.189117958, 526667.3805024915 4714893.649416935, 527063.6991778247 4714895.1819819175, 527487.9160805484 4714896.847481456, 527871.1819491419 4714879.497305504, 528267.5017524088 4714881.098538855, 528650.6929658075 4714882.668227174, 529033.0636576175 4714884.2556222845, 529361.2788569059 4714885.634978693, 529799.4461671906 4714887.500587739, 530181.8169093534 4714889.151209601, 530523.8983632694 4714909.52298566, 530729.8038135854 4714910.433329644)",POINT (525672.5023972254 4714889.904374146),2019-02-02,s3,20233.341839569162,30350.012759353744,1.0,10116.670919784627
