period_id,datetime_beg,datetime_mid,datetime_end
p2019-01-25-8d,2019-01-25 00:00:00,2019-01-28 23:59:59,2019-02-01 23:59:59
p2019-02-02-8d,2019-02-02 00:00:00,2019-02-05 23:59:59,2019-02-09 23:59:59
p2019-02-10-8d,2019-02-10 00:00:00,2019-02-13 23:59:59,2019-02-17 23:59:59
p2019-02-18-8d,2019-02-18 00:00:00,2019-02-21 23:59:59,2019-02-25 23:59:59
p2019-02-26-8d,2019-02-26 00:00:00,2019-03-01 23:59:59,2019-03-05 23:59:59
